"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 09일","1,609.00","1,609.00","1,609.00","1,609.00","-","-0.80%"
"2018년 07월 06일","1,622.00","1,622.00","1,622.00","1,622.00","-","0.62%"
"2018년 07월 05일","1,612.00","1,612.00","1,612.00","1,612.00","-","2.87%"
"2018년 07월 04일","1,567.00","1,567.00","1,567.00","1,567.00","-","6.17%"
"2018년 07월 03일","1,476.00","1,476.00","1,476.00","1,476.00","-","3.80%"
"2018년 07월 02일","1,422.00","1,422.00","1,422.00","1,422.00","-","2.67%"
"2018년 06월 29일","1,385.00","1,385.00","1,385.00","1,385.00","-","4.21%"
"2018년 06월 28일","1,329.00","1,329.00","1,329.00","1,329.00","-","1.53%"
"2018년 06월 27일","1,309.00","1,309.00","1,309.00","1,309.00","-","-1.06%"
"2018년 06월 26일","1,323.00","1,323.00","1,323.00","1,323.00","-","-0.75%"
"2018년 06월 25일","1,333.00","1,333.00","1,333.00","1,333.00","-","-0.60%"
"2018년 06월 22일","1,341.00","1,341.00","1,341.00","1,341.00","-","-0.45%"
"2018년 06월 21일","1,347.00","1,347.00","1,347.00","1,347.00","-","-1.89%"
"2018년 06월 20일","1,373.00","1,373.00","1,373.00","1,373.00","-","-3.24%"
"2018년 06월 19일","1,419.00","1,419.00","1,419.00","1,419.00","-","-1.60%"
"2018년 06월 18일","1,442.00","1,442.00","1,442.00","1,442.00","-","-0.21%"
"2018년 06월 15일","1,445.00","1,445.00","1,445.00","1,445.00","-","0.84%"
"2018년 06월 14일","1,433.00","1,433.00","1,433.00","1,433.00","-","2.07%"
"2018년 06월 13일","1,404.00","1,404.00","1,404.00","1,404.00","-","1.01%"
"2018년 06월 12일","1,390.00","1,390.00","1,390.00","1,390.00","-","0.22%"
"2018년 06월 11일","1,387.00","1,387.00","1,387.00","1,387.00","-","-0.29%"
"2018년 06월 08일","1,391.00","1,391.00","1,391.00","1,391.00","-","-0.29%"
"2018년 06월 07일","1,395.00","1,395.00","1,395.00","1,395.00","-","4.10%"
"2018년 06월 06일","1,340.00","1,340.00","1,340.00","1,340.00","-","7.29%"
