"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 01월 26일","840.00","840.00","840.00","840.00","-","-2.55%"
"2017년 01월 25일","862.00","862.00","862.00","862.00","-","-2.71%"
"2017년 01월 24일","886.00","886.00","886.00","886.00","-","-3.06%"
"2017년 01월 23일","914.00","914.00","914.00","914.00","-","-1.19%"
"2017년 01월 20일","925.00","925.00","925.00","925.00","-","-1.80%"
"2017년 01월 19일","942.00","942.00","942.00","942.00","-","-1.05%"
"2017년 01월 18일","952.00","952.00","952.00","952.00","-","3.25%"
"2017년 01월 17일","922.00","922.00","922.00","922.00","-","-0.32%"
"2017년 01월 16일","925.00","925.00","925.00","925.00","-","1.65%"
"2017년 01월 13일","910.00","910.00","910.00","910.00","-","2.02%"
"2017년 01월 12일","892.00","892.00","892.00","892.00","-","-0.22%"
"2017년 01월 11일","894.00","894.00","894.00","894.00","-","-3.46%"
"2017년 01월 10일","926.00","926.00","926.00","926.00","-","-2.42%"
"2017년 01월 09일","949.00","949.00","949.00","949.00","-","-1.45%"
"2017년 01월 06일","963.00","963.00","963.00","963.00","-","-2.03%"
"2017년 01월 05일","983.00","983.00","983.00","983.00","-","1.44%"
"2017년 01월 04일","969.00","969.00","969.00","969.00","-","1.68%"
"2017년 01월 03일","953.00","953.00","953.00","953.00","-","-0.83%"
"2016년 12월 23일","961.00","961.00","961.00","961.00","-","3.56%"
"2016년 12월 22일","928.00","928.00","928.00","928.00","-","0.22%"
"2016년 12월 21일","926.00","926.00","926.00","926.00","-","1.31%"
"2016년 12월 20일","914.00","914.00","914.00","914.00","-","-1.40%"
"2016년 12월 19일","927.00","927.00","927.00","927.00","-","-2.01%"
"2016년 12월 16일","946.00","946.00","946.00","946.00","-","-2.07%"
"2016년 12월 15일","966.00","966.00","966.00","966.00","-","-3.69%"
"2016년 12월 14일","1,003.00","1,003.00","1,003.00","1,003.00","-","-4.66%"
"2016년 12월 13일","1,052.00","1,052.00","1,052.00","1,052.00","-","-1.59%"
"2016년 12월 12일","1,069.00","1,069.00","1,069.00","1,069.00","-","-1.93%"
"2016년 12월 09일","1,090.00","1,090.00","1,090.00","1,090.00","-","-2.85%"
"2016년 12월 08일","1,122.00","1,122.00","1,122.00","1,122.00","-","-3.44%"
"2016년 12월 07일","1,162.00","1,162.00","1,162.00","1,162.00","-","-2.02%"
"2016년 12월 06일","1,186.00","1,186.00","1,186.00","1,186.00","-","-0.84%"
"2016년 12월 05일","1,196.00","1,196.00","1,196.00","1,196.00","-","-0.17%"
"2016년 12월 02일","1,198.00","1,198.00","1,198.00","1,198.00","-","0.17%"
"2016년 12월 01일","1,196.00","1,196.00","1,196.00","1,196.00","-","-0.66%"
"2016년 11월 30일","1,204.00","1,204.00","1,204.00","1,204.00","-","0.17%"
"2016년 11월 29일","1,202.00","1,202.00","1,202.00","1,202.00","-","1.52%"
"2016년 11월 28일","1,184.00","1,184.00","1,184.00","1,184.00","-","0.25%"
"2016년 11월 25일","1,181.00","1,181.00","1,181.00","1,181.00","-","-1.67%"
"2016년 11월 24일","1,201.00","1,201.00","1,201.00","1,201.00","-","-1.88%"
"2016년 11월 23일","1,224.00","1,224.00","1,224.00","1,224.00","-","-0.65%"
"2016년 11월 22일","1,232.00","1,232.00","1,232.00","1,232.00","-","-0.65%"
"2016년 11월 21일","1,240.00","1,240.00","1,240.00","1,240.00","-","-1.35%"
"2016년 11월 18일","1,257.00","1,257.00","1,257.00","1,257.00","-","2.11%"
"2016년 11월 17일","1,231.00","1,231.00","1,231.00","1,231.00","-","7.51%"
"2016년 11월 16일","1,145.00","1,145.00","1,145.00","1,145.00","-","5.63%"
"2016년 11월 15일","1,084.00","1,084.00","1,084.00","1,084.00","-","1.78%"
"2016년 11월 14일","1,065.00","1,065.00","1,065.00","1,065.00","-","1.91%"
"2016년 11월 11일","1,045.00","1,045.00","1,045.00","1,045.00","-","7.29%"
"2016년 11월 10일","974.00","974.00","974.00","974.00","-","2.10%"
"2016년 11월 09일","954.00","954.00","954.00","954.00","-","4.72%"
"2016년 11월 08일","911.00","911.00","911.00","911.00","-","4.71%"
"2016년 11월 07일","870.00","870.00","870.00","870.00","-","1.75%"
"2016년 11월 04일","855.00","855.00","855.00","855.00","-","0.71%"
"2016년 11월 03일","849.00","849.00","849.00","849.00","-","1.80%"
"2016년 11월 02일","834.00","834.00","834.00","834.00","-","-0.48%"
"2016년 11월 01일","838.00","838.00","838.00","838.00","-","-2.22%"
"2016년 10월 31일","857.00","857.00","857.00","857.00","-","2.76%"
"2016년 10월 28일","834.00","834.00","834.00","834.00","-","4.51%"
"2016년 10월 27일","798.00","798.00","798.00","798.00","-","-0.50%"
"2016년 10월 26일","802.00","802.00","802.00","802.00","-","-1.35%"
"2016년 10월 25일","813.00","813.00","813.00","813.00","-","-2.17%"
"2016년 10월 24일","831.00","831.00","831.00","831.00","-","-1.31%"
"2016년 10월 21일","842.00","842.00","842.00","842.00","-","-0.82%"
"2016년 10월 20일","849.00","849.00","849.00","849.00","-","-2.64%"
"2016년 10월 19일","872.00","872.00","872.00","872.00","-","-2.02%"
"2016년 10월 18일","890.00","890.00","890.00","890.00","-","-0.45%"
"2016년 10월 17일","894.00","894.00","894.00","894.00","-","0.22%"
"2016년 10월 14일","892.00","892.00","892.00","892.00","-","0.79%"
"2016년 10월 13일","885.00","885.00","885.00","885.00","-","-2.32%"
"2016년 10월 12일","906.00","906.00","906.00","906.00","-","-1.74%"
"2016년 10월 11일","922.00","922.00","922.00","922.00","-","0.00%"
"2016년 10월 10일","922.00","922.00","922.00","922.00","-","0.11%"
"2016년 10월 07일","921.00","921.00","921.00","921.00","-","0.66%"
"2016년 10월 06일","915.00","915.00","915.00","915.00","-","5.29%"
"2016년 10월 05일","869.00","869.00","869.00","869.00","-","1.05%"
"2016년 10월 04일","860.00","860.00","860.00","860.00","-","-0.46%"
"2016년 10월 03일","864.00","864.00","864.00","864.00","-","-1.26%"
"2016년 09월 30일","875.00","875.00","875.00","875.00","-","-1.46%"
"2016년 09월 29일","888.00","888.00","888.00","888.00","-","-2.63%"
"2016년 09월 28일","912.00","912.00","912.00","912.00","-","-1.94%"
"2016년 09월 27일","930.00","930.00","930.00","930.00","-","-0.43%"
"2016년 09월 26일","934.00","934.00","934.00","934.00","-","-0.74%"
"2016년 09월 23일","941.00","941.00","941.00","941.00","-","0.43%"
"2016년 09월 22일","937.00","937.00","937.00","937.00","-","3.77%"
"2016년 09월 21일","903.00","903.00","903.00","903.00","-","4.39%"
"2016년 09월 20일","865.00","865.00","865.00","865.00","-","3.47%"
"2016년 09월 19일","836.00","836.00","836.00","836.00","-","4.50%"
"2016년 09월 16일","800.00","800.00","800.00","800.00","-","4.71%"
"2016년 09월 15일","764.00","764.00","764.00","764.00","-","1.06%"
"2016년 09월 14일","756.00","756.00","756.00","756.00","-","-5.03%"
"2016년 09월 13일","796.00","796.00","796.00","796.00","-","-1.00%"
"2016년 09월 12일","804.00","804.00","804.00","804.00","-","0.00%"
"2016년 09월 09일","804.00","804.00","804.00","804.00","-","1.52%"
"2016년 09월 08일","792.00","792.00","792.00","792.00","-","2.46%"
"2016년 09월 07일","773.00","773.00","773.00","773.00","-","3.76%"
"2016년 09월 06일","745.00","745.00","745.00","745.00","-","2.90%"
"2016년 09월 05일","724.00","724.00","724.00","724.00","-","0.56%"
"2016년 09월 02일","720.00","720.00","720.00","720.00","-","1.12%"
"2016년 09월 01일","712.00","712.00","712.00","712.00","-","0.14%"
"2016년 08월 31일","711.00","711.00","711.00","711.00","-","-0.56%"
"2016년 08월 30일","715.00","715.00","715.00","715.00","-","-0.69%"
"2016년 08월 26일","720.00","720.00","720.00","720.00","-","0.28%"
"2016년 08월 25일","718.00","718.00","718.00","718.00","-","1.70%"
"2016년 08월 24일","706.00","706.00","706.00","706.00","-","2.02%"
"2016년 08월 23일","692.00","692.00","692.00","692.00","-","0.73%"
"2016년 08월 22일","687.00","687.00","687.00","687.00","-","0.59%"
"2016년 08월 19일","683.00","683.00","683.00","683.00","-","0.15%"
"2016년 08월 18일","682.00","682.00","682.00","682.00","-","-0.44%"
"2016년 08월 17일","685.00","685.00","685.00","685.00","-","-0.29%"
"2016년 08월 16일","687.00","687.00","687.00","687.00","-","0.88%"
"2016년 08월 15일","681.00","681.00","681.00","681.00","-","1.49%"
"2016년 08월 12일","671.00","671.00","671.00","671.00","-","2.76%"
"2016년 08월 11일","653.00","653.00","653.00","653.00","-","2.35%"
"2016년 08월 10일","638.00","638.00","638.00","638.00","-","1.11%"
"2016년 08월 09일","631.00","631.00","631.00","631.00","-","-0.79%"
"2016년 08월 08일","636.00","636.00","636.00","636.00","-","0.00%"
"2016년 08월 05일","636.00","636.00","636.00","636.00","-","0.00%"
"2016년 08월 04일","636.00","636.00","636.00","636.00","-","-0.78%"
"2016년 08월 03일","641.00","641.00","641.00","641.00","-","-0.62%"
"2016년 08월 02일","645.00","645.00","645.00","645.00","-","-0.77%"
"2016년 08월 01일","650.00","650.00","650.00","650.00","-","-0.91%"
"2016년 07월 29일","656.00","656.00","656.00","656.00","-","-1.35%"
"2016년 07월 28일","665.00","665.00","665.00","665.00","-","-2.06%"
"2016년 07월 27일","679.00","679.00","679.00","679.00","-","-2.44%"
"2016년 07월 26일","696.00","696.00","696.00","696.00","-","-1.83%"
"2016년 07월 25일","709.00","709.00","709.00","709.00","-","-1.25%"
"2016년 07월 22일","718.00","718.00","718.00","718.00","-","-1.10%"
"2016년 07월 21일","726.00","726.00","726.00","726.00","-","-1.36%"
"2016년 07월 20일","736.00","736.00","736.00","736.00","-","-1.34%"
"2016년 07월 19일","746.00","746.00","746.00","746.00","-","-0.27%"
"2016년 07월 18일","748.00","748.00","748.00","748.00","-","0.40%"
"2016년 07월 15일","745.00","745.00","745.00","745.00","-","0.95%"
"2016년 07월 14일","738.00","738.00","738.00","738.00","-","1.65%"
"2016년 07월 13일","726.00","726.00","726.00","726.00","-","2.11%"
"2016년 07월 12일","711.00","711.00","711.00","711.00","-","0.99%"
"2016년 07월 11일","704.00","704.00","704.00","704.00","-","0.14%"
"2016년 07월 08일","703.00","703.00","703.00","703.00","-","0.57%"
"2016년 07월 07일","699.00","699.00","699.00","699.00","-","0.72%"
"2016년 07월 06일","694.00","694.00","694.00","694.00","-","0.29%"
"2016년 07월 05일","692.00","692.00","692.00","692.00","-","0.58%"
"2016년 07월 04일","688.00","688.00","688.00","688.00","-","1.62%"
"2016년 07월 01일","677.00","677.00","677.00","677.00","-","2.58%"
"2016년 06월 30일","660.00","660.00","660.00","660.00","-","3.13%"
"2016년 06월 29일","640.00","640.00","640.00","640.00","-","2.07%"
"2016년 06월 28일","627.00","627.00","627.00","627.00","-","1.79%"
"2016년 06월 27일","616.00","616.00","616.00","616.00","-","1.15%"
"2016년 06월 24일","609.00","609.00","609.00","609.00","-","2.18%"
"2016년 06월 23일","596.00","596.00","596.00","596.00","-","1.88%"
"2016년 06월 22일","585.00","585.00","585.00","585.00","-","0.86%"
"2016년 06월 21일","580.00","580.00","580.00","580.00","-","-0.34%"
"2016년 06월 20일","582.00","582.00","582.00","582.00","-","-0.85%"
"2016년 06월 17일","587.00","587.00","587.00","587.00","-","-1.84%"
"2016년 06월 16일","598.00","598.00","598.00","598.00","-","-0.99%"
"2016년 06월 15일","604.00","604.00","604.00","604.00","-","-0.66%"
"2016년 06월 14일","608.00","608.00","608.00","608.00","-","-0.16%"
"2016년 06월 13일","609.00","609.00","609.00","609.00","-","-0.16%"
"2016년 06월 10일","610.00","610.00","610.00","610.00","-","-0.16%"
"2016년 06월 09일","611.00","611.00","611.00","611.00","-","0.16%"
"2016년 06월 08일","610.00","610.00","610.00","610.00","-","0.66%"
"2016년 06월 07일","606.00","606.00","606.00","606.00","-","-0.16%"
"2016년 06월 06일","607.00","607.00","607.00","607.00","-","-0.49%"
"2016년 06월 03일","610.00","610.00","610.00","610.00","-","0.66%"
"2016년 06월 02일","606.00","606.00","606.00","606.00","-","-0.98%"
"2016년 06월 01일","612.00","612.00","612.00","612.00","-","0.00%"
"2016년 05월 31일","612.00","612.00","612.00","612.00","-","0.99%"
"2016년 05월 27일","606.00","606.00","606.00","606.00","-","0.83%"
"2016년 05월 26일","601.00","601.00","601.00","601.00","-","-0.66%"
"2016년 05월 25일","605.00","605.00","605.00","605.00","-","-2.10%"
"2016년 05월 24일","618.00","618.00","618.00","618.00","-","-0.96%"
"2016년 05월 23일","624.00","624.00","624.00","624.00","-","-0.16%"
"2016년 05월 20일","625.00","625.00","625.00","625.00","-","-1.42%"
"2016년 05월 19일","634.00","634.00","634.00","634.00","-","-1.25%"
"2016년 05월 18일","642.00","642.00","642.00","642.00","-","-0.16%"
"2016년 05월 17일","643.00","643.00","643.00","643.00","-","4.89%"
"2016년 05월 16일","613.00","613.00","613.00","613.00","-","2.17%"
"2016년 05월 13일","600.00","600.00","600.00","600.00","-","3.63%"
"2016년 05월 12일","579.00","579.00","579.00","579.00","-","0.00%"
"2016년 05월 11일","579.00","579.00","579.00","579.00","-","-2.53%"
"2016년 05월 10일","594.00","594.00","594.00","594.00","-","-3.57%"
"2016년 05월 09일","616.00","616.00","616.00","616.00","-","-2.38%"
"2016년 05월 06일","631.00","631.00","631.00","631.00","-","-1.71%"
"2016년 05월 05일","642.00","642.00","642.00","642.00","-","-1.53%"
"2016년 05월 04일","652.00","652.00","652.00","652.00","-","-4.40%"
"2016년 05월 03일","682.00","682.00","682.00","682.00","-","-2.99%"
"2016년 04월 29일","703.00","703.00","703.00","703.00","-","-0.99%"
"2016년 04월 28일","710.00","710.00","710.00","710.00","-","-0.70%"
"2016년 04월 27일","715.00","715.00","715.00","715.00","-","1.56%"
"2016년 04월 26일","704.00","704.00","704.00","704.00","-","2.03%"
"2016년 04월 25일","690.00","690.00","690.00","690.00","-","0.29%"
"2016년 04월 22일","688.00","688.00","688.00","688.00","-","2.69%"
"2016년 04월 21일","670.00","670.00","670.00","670.00","-","0.15%"
"2016년 04월 20일","669.00","669.00","669.00","669.00","-","-0.30%"
"2016년 04월 19일","671.00","671.00","671.00","671.00","-","1.82%"
"2016년 04월 18일","659.00","659.00","659.00","659.00","-","3.78%"
"2016년 04월 15일","635.00","635.00","635.00","635.00","-","6.37%"
"2016년 04월 14일","597.00","597.00","597.00","597.00","-","5.29%"
"2016년 04월 13일","567.00","567.00","567.00","567.00","-","1.25%"
"2016년 04월 12일","560.00","560.00","560.00","560.00","-","0.90%"
"2016년 04월 11일","555.00","555.00","555.00","555.00","-","2.97%"
"2016년 04월 08일","539.00","539.00","539.00","539.00","-","4.26%"
"2016년 04월 07일","517.00","517.00","517.00","517.00","-","3.40%"
"2016년 04월 06일","500.00","500.00","500.00","500.00","-","2.67%"
"2016년 04월 05일","487.00","487.00","487.00","487.00","-","3.40%"
"2016년 04월 04일","471.00","471.00","471.00","471.00","-","4.67%"
"2016년 04월 01일","450.00","450.00","450.00","450.00","-","4.90%"
"2016년 03월 31일","429.00","429.00","429.00","429.00","-","3.62%"
"2016년 03월 30일","414.00","414.00","414.00","414.00","-","1.22%"
"2016년 03월 29일","409.00","409.00","409.00","409.00","-","0.74%"
"2016년 03월 24일","406.00","406.00","406.00","406.00","-","1.25%"
"2016년 03월 23일","401.00","401.00","401.00","401.00","-","0.75%"
"2016년 03월 22일","398.00","398.00","398.00","398.00","-","0.00%"
"2016년 03월 21일","398.00","398.00","398.00","398.00","-","0.76%"
"2016년 03월 18일","395.00","395.00","395.00","395.00","-","0.77%"
"2016년 03월 17일","392.00","392.00","392.00","392.00","-","-0.25%"
"2016년 03월 16일","393.00","393.00","393.00","393.00","-","-0.76%"
"2016년 03월 15일","396.00","396.00","396.00","396.00","-","0.76%"
"2016년 03월 14일","393.00","393.00","393.00","393.00","-","1.29%"
"2016년 03월 11일","388.00","388.00","388.00","388.00","-","1.04%"
"2016년 03월 10일","384.00","384.00","384.00","384.00","-","2.13%"
"2016년 03월 09일","376.00","376.00","376.00","376.00","-","2.73%"
"2016년 03월 08일","366.00","366.00","366.00","366.00","-","3.39%"
"2016년 03월 07일","354.00","354.00","354.00","354.00","-","1.43%"
"2016년 03월 04일","349.00","349.00","349.00","349.00","-","2.05%"
"2016년 03월 03일","342.00","342.00","342.00","342.00","-","2.09%"
"2016년 03월 02일","335.00","335.00","335.00","335.00","-","0.90%"
"2016년 03월 01일","332.00","332.00","332.00","332.00","-","0.91%"
"2016년 02월 29일","329.00","329.00","329.00","329.00","-","0.61%"
"2016년 02월 26일","327.00","327.00","327.00","327.00","-","0.62%"
"2016년 02월 25일","325.00","325.00","325.00","325.00","-","0.93%"
"2016년 02월 24일","322.00","322.00","322.00","322.00","-","1.26%"
"2016년 02월 23일","318.00","318.00","318.00","318.00","-","0.63%"
"2016년 02월 22일","316.00","316.00","316.00","316.00","-","0.32%"
"2016년 02월 19일","315.00","315.00","315.00","315.00","-","0.64%"
"2016년 02월 18일","313.00","313.00","313.00","313.00","-","1.95%"
"2016년 02월 17일","307.00","307.00","307.00","307.00","-","1.99%"
"2016년 02월 16일","301.00","301.00","301.00","301.00","-","2.03%"
"2016년 02월 15일","295.00","295.00","295.00","295.00","-","1.37%"
"2016년 02월 12일","291.00","291.00","291.00","291.00","-","0.34%"
"2016년 02월 11일","290.00","290.00","290.00","290.00","-","0.00%"
"2016년 02월 10일","290.00","290.00","290.00","290.00","-","-0.34%"
"2016년 02월 09일","291.00","291.00","291.00","291.00","-","-0.68%"
"2016년 02월 08일","293.00","293.00","293.00","293.00","-","-1.35%"
"2016년 02월 05일","297.00","297.00","297.00","297.00","-","-0.34%"
"2016년 02월 04일","298.00","298.00","298.00","298.00","-","-1.65%"
"2016년 02월 03일","303.00","303.00","303.00","303.00","-","-2.26%"
"2016년 02월 02일","310.00","310.00","310.00","310.00","-","-1.27%"
"2016년 02월 01일","314.00","314.00","314.00","314.00","-","-0.95%"
"2016년 01월 29일","317.00","317.00","317.00","317.00","-","-2.46%"
"2016년 01월 28일","325.00","325.00","325.00","325.00","-","-3.56%"
"2016년 01월 27일","337.00","337.00","337.00","337.00","-","-2.32%"
"2016년 01월 26일","345.00","345.00","345.00","345.00","-","-2.54%"
"2016년 01월 25일","354.00","354.00","354.00","354.00","-","0.00%"
"2016년 01월 22일","354.00","354.00","354.00","354.00","-","-0.28%"
"2016년 01월 21일","355.00","355.00","355.00","355.00","-","-0.84%"
"2016년 01월 20일","358.00","358.00","358.00","358.00","-","-1.38%"
"2016년 01월 19일","363.00","363.00","363.00","363.00","-","-1.63%"
"2016년 01월 18일","369.00","369.00","369.00","369.00","-","-1.07%"
"2016년 01월 15일","373.00","373.00","373.00","373.00","-","-2.61%"
"2016년 01월 14일","383.00","383.00","383.00","383.00","-","-2.79%"
"2016년 01월 13일","394.00","394.00","394.00","394.00","-","-1.99%"
"2016년 01월 12일","402.00","402.00","402.00","402.00","-","-3.13%"
"2016년 01월 11일","415.00","415.00","415.00","415.00","-","-3.26%"
"2016년 01월 08일","429.00","429.00","429.00","429.00","-","-3.60%"
"2016년 01월 07일","445.00","445.00","445.00","445.00","-","-4.71%"
"2016년 01월 06일","467.00","467.00","467.00","467.00","-","-0.21%"
"2016년 01월 05일","468.00","468.00","468.00","468.00","-","-1.06%"
"2016년 01월 04일","473.00","473.00","473.00","473.00","-","-1.05%"
"2015년 12월 24일","478.00","478.00","478.00","478.00","-","0.63%"
"2015년 12월 23일","475.00","475.00","475.00","475.00","-","0.21%"
"2015년 12월 22일","474.00","474.00","474.00","474.00","-","-0.84%"
"2015년 12월 21일","478.00","478.00","478.00","478.00","-","0.21%"
"2015년 12월 18일","477.00","477.00","477.00","477.00","-","1.27%"
"2015년 12월 17일","471.00","471.00","471.00","471.00","-","0.00%"
"2015년 12월 16일","471.00","471.00","471.00","471.00","-","-2.69%"
"2015년 12월 15일","484.00","484.00","484.00","484.00","-","-4.72%"
"2015년 12월 14일","508.00","508.00","508.00","508.00","-","-2.68%"
"2015년 12월 11일","522.00","522.00","522.00","522.00","-","-2.25%"
"2015년 12월 10일","534.00","534.00","534.00","534.00","-","-2.20%"
"2015년 12월 09일","546.00","546.00","546.00","546.00","-","-0.91%"
"2015년 12월 08일","551.00","551.00","551.00","551.00","-","0.00%"
"2015년 12월 07일","551.00","551.00","551.00","551.00","-","-2.13%"
"2015년 12월 04일","563.00","563.00","563.00","563.00","-","-1.92%"
"2015년 12월 03일","574.00","574.00","574.00","574.00","-","-2.71%"
"2015년 12월 02일","590.00","590.00","590.00","590.00","-","-1.34%"
"2015년 12월 01일","598.00","598.00","598.00","598.00","-","2.40%"
"2015년 11월 30일","584.00","584.00","584.00","584.00","-","0.52%"
"2015년 11월 27일","581.00","581.00","581.00","581.00","-","3.38%"
"2015년 11월 26일","562.00","562.00","562.00","562.00","-","2.93%"
"2015년 11월 25일","546.00","546.00","546.00","546.00","-","3.41%"
"2015년 11월 24일","528.00","528.00","528.00","528.00","-","2.33%"
"2015년 11월 23일","516.00","516.00","516.00","516.00","-","3.61%"
"2015년 11월 20일","498.00","498.00","498.00","498.00","-","-1.19%"
"2015년 11월 19일","504.00","504.00","504.00","504.00","-","-2.89%"
"2015년 11월 18일","519.00","519.00","519.00","519.00","-","-3.35%"
"2015년 11월 17일","537.00","537.00","537.00","537.00","-","-2.36%"
"2015년 11월 16일","550.00","550.00","550.00","550.00","-","-1.79%"
"2015년 11월 13일","560.00","560.00","560.00","560.00","-","-3.28%"
"2015년 11월 12일","579.00","579.00","579.00","579.00","-","-3.34%"
"2015년 11월 11일","599.00","599.00","599.00","599.00","-","-3.70%"
"2015년 11월 10일","622.00","622.00","622.00","622.00","-","-0.96%"
"2015년 11월 09일","628.00","628.00","628.00","628.00","-","-0.48%"
"2015년 11월 06일","631.00","631.00","631.00","631.00","-","-1.41%"
"2015년 11월 05일","640.00","640.00","640.00","640.00","-","-2.59%"
"2015년 11월 04일","657.00","657.00","657.00","657.00","-","-3.38%"
"2015년 11월 03일","680.00","680.00","680.00","680.00","-","-3.68%"
"2015년 11월 02일","706.00","706.00","706.00","706.00","-","-2.08%"
"2015년 10월 30일","721.00","721.00","721.00","721.00","-","-0.96%"
"2015년 10월 29일","728.00","728.00","728.00","728.00","-","-1.09%"
"2015년 10월 28일","736.00","736.00","736.00","736.00","-","-0.41%"
"2015년 10월 27일","739.00","739.00","739.00","739.00","-","-2.64%"
"2015년 10월 26일","759.00","759.00","759.00","759.00","-","-1.94%"
"2015년 10월 23일","774.00","774.00","774.00","774.00","-","-1.53%"
"2015년 10월 22일","786.00","786.00","786.00","786.00","-","0.77%"
"2015년 10월 21일","780.00","780.00","780.00","780.00","-","2.36%"
"2015년 10월 20일","762.00","762.00","762.00","762.00","-","2.01%"
"2015년 10월 19일","747.00","747.00","747.00","747.00","-","-0.93%"
"2015년 10월 16일","754.00","754.00","754.00","754.00","-","-1.57%"
"2015년 10월 15일","766.00","766.00","766.00","766.00","-","-2.67%"
"2015년 10월 14일","787.00","787.00","787.00","787.00","-","-2.11%"
"2015년 10월 13일","804.00","804.00","804.00","804.00","-","-0.62%"
"2015년 10월 12일","809.00","809.00","809.00","809.00","-","0.00%"
"2015년 10월 09일","809.00","809.00","809.00","809.00","-","-0.98%"
"2015년 10월 08일","817.00","817.00","817.00","817.00","-","-2.85%"
"2015년 10월 07일","841.00","841.00","841.00","841.00","-","-3.22%"
"2015년 10월 06일","869.00","869.00","869.00","869.00","-","-1.36%"
"2015년 10월 05일","881.00","881.00","881.00","881.00","-","-0.90%"
"2015년 10월 02일","889.00","889.00","889.00","889.00","-","0.11%"
"2015년 10월 01일","888.00","888.00","888.00","888.00","-","-1.33%"
"2015년 09월 30일","900.00","900.00","900.00","900.00","-","-2.81%"
"2015년 09월 29일","926.00","926.00","926.00","926.00","-","-1.80%"
"2015년 09월 28일","943.00","943.00","943.00","943.00","-","0.00%"
"2015년 09월 25일","943.00","943.00","943.00","943.00","-","2.28%"
"2015년 09월 24일","922.00","922.00","922.00","922.00","-","0.55%"
"2015년 09월 23일","917.00","917.00","917.00","917.00","-","-0.65%"
"2015년 09월 22일","923.00","923.00","923.00","923.00","-","-5.62%"
"2015년 09월 21일","978.00","978.00","978.00","978.00","-","1.88%"
"2015년 09월 18일","960.00","960.00","960.00","960.00","-","8.72%"
"2015년 09월 17일","883.00","883.00","883.00","883.00","-","8.48%"
"2015년 09월 16일","814.00","814.00","814.00","814.00","-","1.50%"
"2015년 09월 15일","802.00","802.00","802.00","802.00","-","-0.37%"
"2015년 09월 14일","805.00","805.00","805.00","805.00","-","-1.59%"
"2015년 09월 11일","818.00","818.00","818.00","818.00","-","-1.45%"
"2015년 09월 10일","830.00","830.00","830.00","830.00","-","-2.92%"
"2015년 09월 09일","855.00","855.00","855.00","855.00","-","-2.06%"
"2015년 09월 08일","873.00","873.00","873.00","873.00","-","-0.34%"
"2015년 09월 07일","876.00","876.00","876.00","876.00","-","0.11%"
"2015년 09월 04일","875.00","875.00","875.00","875.00","-","-1.80%"
"2015년 09월 03일","891.00","891.00","891.00","891.00","-","-1.66%"
"2015년 09월 02일","906.00","906.00","906.00","906.00","-","-0.55%"
"2015년 09월 01일","911.00","911.00","911.00","911.00","-","0.89%"
"2015년 08월 28일","903.00","903.00","903.00","903.00","-","-0.22%"
"2015년 08월 27일","905.00","905.00","905.00","905.00","-","-1.42%"
"2015년 08월 26일","918.00","918.00","918.00","918.00","-","-2.55%"
"2015년 08월 25일","942.00","942.00","942.00","942.00","-","-2.69%"
"2015년 08월 24일","968.00","968.00","968.00","968.00","-","-2.62%"
"2015년 08월 21일","994.00","994.00","994.00","994.00","-","-1.97%"
"2015년 08월 20일","1,014.00","1,014.00","1,014.00","1,014.00","-","-1.65%"
"2015년 08월 19일","1,031.00","1,031.00","1,031.00","1,031.00","-","-1.43%"
"2015년 08월 18일","1,046.00","1,046.00","1,046.00","1,046.00","-","-1.60%"
"2015년 08월 17일","1,063.00","1,063.00","1,063.00","1,063.00","-","0.76%"
"2015년 08월 14일","1,055.00","1,055.00","1,055.00","1,055.00","-","0.86%"
"2015년 08월 13일","1,046.00","1,046.00","1,046.00","1,046.00","-","-4.30%"
"2015년 08월 12일","1,093.00","1,093.00","1,093.00","1,093.00","-","-5.94%"
"2015년 08월 11일","1,162.00","1,162.00","1,162.00","1,162.00","-","-2.92%"
"2015년 08월 10일","1,197.00","1,197.00","1,197.00","1,197.00","-","-0.25%"
"2015년 08월 07일","1,200.00","1,200.00","1,200.00","1,200.00","-","-0.08%"
"2015년 08월 06일","1,201.00","1,201.00","1,201.00","1,201.00","-","-1.72%"
"2015년 08월 05일","1,222.00","1,222.00","1,222.00","1,222.00","-","1.83%"
"2015년 08월 04일","1,200.00","1,200.00","1,200.00","1,200.00","-","4.26%"
"2015년 08월 03일","1,151.00","1,151.00","1,151.00","1,151.00","-","1.77%"
"2015년 07월 31일","1,131.00","1,131.00","1,131.00","1,131.00","-","2.82%"
"2015년 07월 30일","1,100.00","1,100.00","1,100.00","1,100.00","-","-0.36%"
"2015년 07월 29일","1,104.00","1,104.00","1,104.00","1,104.00","-","0.91%"
"2015년 07월 28일","1,094.00","1,094.00","1,094.00","1,094.00","-","0.37%"
"2015년 07월 27일","1,090.00","1,090.00","1,090.00","1,090.00","-","0.37%"
"2015년 07월 24일","1,086.00","1,086.00","1,086.00","1,086.00","-","-1.45%"
"2015년 07월 23일","1,102.00","1,102.00","1,102.00","1,102.00","-","-1.43%"
"2015년 07월 22일","1,118.00","1,118.00","1,118.00","1,118.00","-","0.45%"
"2015년 07월 21일","1,113.00","1,113.00","1,113.00","1,113.00","-","4.31%"
"2015년 07월 20일","1,067.00","1,067.00","1,067.00","1,067.00","-","1.81%"
"2015년 07월 17일","1,048.00","1,048.00","1,048.00","1,048.00","-","3.87%"
