code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A003490,koreanAir,KOSPI,20161121,18562,18684,18410,18592,242649,7398000000,72839000,1354222000000,11884274,16.31999969482422,20361,-9785997
A003490,koreanAir,KOSPI,20161122,18471,18592,18349,18592,164497,4995000000,72839000,1354222000000,11907837,16.350000381469727,1713,-9784284
A003490,koreanAir,KOSPI,20161123,18653,19385,18592,19050,470806,14749000000,72839000,1387582000000,12004837,16.479999542236328,25532,-9758752
A003490,koreanAir,KOSPI,20161124,19111,19141,18653,18806,249642,7728000000,72839000,1369810000000,12074592,16.579999923706055,-45270,-9804022
A003490,koreanAir,KOSPI,20161125,18714,18958,18501,18806,154065,4754000000,72839000,1369810000000,12116582,16.6299991607666,3360,-9800662
A003490,koreanAir,KOSPI,20161128,18623,18836,18318,18684,238824,7267000000,72839000,1360923000000,12174747,16.709999084472656,-42510,-9843172
A003490,koreanAir,KOSPI,20161129,18745,18958,18653,18714,245437,7581000000,72839000,1363109000000,12240450,16.799999237060547,-25647,-9868819
A003490,koreanAir,KOSPI,20161130,18775,19354,18775,19050,487963,15342000000,72839000,1387582000000,12318225,16.90999984741211,10117,-9858702
A003490,koreanAir,KOSPI,20161201,18501,18836,18410,18471,473662,14416000000,72839000,1345409000000,12289345,16.8700008392334,-31471,-9890173
A003490,koreanAir,KOSPI,20161202,18440,18684,18166,18531,232705,7059000000,72839000,1349779000000,12354883,16.959999084472656,-23520,-9913693
A003490,koreanAir,KOSPI,20161205,18531,18592,18288,18288,190653,5739000000,72839000,1332079000000,12385489,17.0,-59507,-9973200
A003490,koreanAir,KOSPI,20161206,18349,18440,18013,18288,290860,8669000000,72839000,1332079000000,12335453,16.940000534057617,-4665,-9977865
A003490,koreanAir,KOSPI,20161207,18349,18349,17587,17709,397382,11657000000,72839000,1289905000000,12355124,16.959999084472656,-159550,-10137415
A003490,koreanAir,KOSPI,20161208,17800,17861,17434,17861,487835,14122000000,72839000,1300977000000,12365142,16.979999542236328,-116826,-10254241
A003490,koreanAir,KOSPI,20161209,17709,18013,17587,17983,258971,7587000000,72839000,1309863000000,12446526,17.09000015258789,-60702,-10314943
A003490,koreanAir,KOSPI,20161212,18044,18074,17617,17709,313193,9104000000,72839000,1289905000000,12438554,17.079999923706055,-99106,-10414049
A003490,koreanAir,KOSPI,20161213,17800,18044,17526,17983,568927,16542000000,72839000,1309863000000,12560851,17.239999771118164,-64054,-10478103
A003490,koreanAir,KOSPI,20161214,17952,18349,17891,18227,387849,11567000000,72839000,1327636000000,12559448,17.239999771118164,119528,-10358575
A003490,koreanAir,KOSPI,20161215,18196,18318,18074,18196,184830,5529000000,72839000,1325378000000,12548097,17.229999542236328,49732,-10308843
A003490,koreanAir,KOSPI,20161216,18074,18196,17739,17983,258218,7602000000,72839000,1309863000000,12556023,17.239999771118164,-3192,-10312035
A003490,koreanAir,KOSPI,20161219,17861,17891,17587,17617,250263,7245000000,72839000,1283204000000,12557004,17.239999771118164,-47146,-10359181
A003490,koreanAir,KOSPI,20161220,17709,17800,17587,17739,166383,4823000000,72839000,1292091000000,12573080,17.260000228881836,-9196,-10368377
A003490,koreanAir,KOSPI,20161221,17648,17769,17526,17526,185554,5362000000,72839000,1276576000000,12559560,17.239999771118164,-24660,-10393037
A003490,koreanAir,KOSPI,20161222,17495,17709,17465,17709,253685,7346000000,72839000,1289905000000,12627463,17.34000015258789,-6571,-10399608
A003490,koreanAir,KOSPI,20161223,17526,17648,17495,17526,197057,5559000000,72839000,1276576000000,12574953,17.260000228881836,32071,-10367537
A003490,koreanAir,KOSPI,20161226,17404,17617,17404,17556,240198,6902000000,72839000,1278761000000,12565956,17.25,62485,-10305052
A003490,koreanAir,KOSPI,20161227,17495,17709,17465,17495,118859,3428000000,72839000,1274318000000,12563647,17.25,27175,-10277877
A003490,koreanAir,KOSPI,20161228,17434,17495,17190,17312,199447,5661000000,72839000,1260988000000,12579584,17.270000457763672,-24664,-10302541
A003490,koreanAir,KOSPI,20161229,17099,17251,16611,16672,552721,15219000000,72839000,1214371000000,12531160,17.200000762939453,-118727,-10421268
A003490,koreanAir,KOSPI,20170102,16672,16764,16245,16306,382705,10303000000,72839000,1187712000000,12520302,17.190000534057617,-58051,-9550779
A003490,koreanAir,KOSPI,20170103,16337,16520,16276,16520,422614,11333000000,72839000,1203300000000,12599918,17.299999237060547,-120291,-9671070
A003490,koreanAir,KOSPI,20170104,16520,16520,16215,16489,445005,11929000000,72839000,1201042000000,12489871,17.149999618530273,21057,-9650013
A003490,koreanAir,KOSPI,20170105,16459,16764,16459,16703,643999,17567000000,72839000,1216629000000,12549130,17.229999542236328,17054,-9632959
A003490,koreanAir,KOSPI,20170106,15910,16489,15819,16337,2380202,62733000000,72839000,1189970000000,12525555,17.200000762939453,400318,-9232641
A003490,koreanAir,KOSPI,20170109,16245,16276,15758,15880,749120,19544000000,72839000,1156683000000,12386862,17.010000228881836,22095,-9210546
A003490,koreanAir,KOSPI,20170110,15971,16063,15758,15880,380018,9908000000,72839000,1156683000000,12320140,16.90999984741211,23612,-9186934
A003490,koreanAir,KOSPI,20170111,15941,16063,15819,16063,390851,10204000000,72839000,1170012000000,12266426,16.84000015258789,32003,-9154931
A003490,koreanAir,KOSPI,20170112,16063,16611,16002,16581,648337,17406000000,72839000,1207743000000,12158991,16.690000534057617,170826,-8984105
A003490,koreanAir,KOSPI,20170113,16398,16550,16245,16520,370633,9996000000,72839000,1203300000000,12050281,16.540000915527344,49410,-8934695
A003490,koreanAir,KOSPI,20170116,16611,16703,16367,16550,306630,8328000000,72839000,1205485000000,12015461,16.5,85750,-8848945
A003490,koreanAir,KOSPI,20170117,16550,16581,16398,16428,232121,6270000000,72839000,1196599000000,11964486,16.43000030517578,-537,-8849482
A003490,koreanAir,KOSPI,20170118,16520,16794,16520,16703,322413,8801000000,72839000,1216629000000,11936645,16.389999389648438,76431,-8773051
A003490,koreanAir,KOSPI,20170119,16611,17129,16611,17007,622337,17293000000,72839000,1238772000000,11867468,16.290000915527344,263407,-8509644
A003490,koreanAir,KOSPI,20170120,17068,17099,16794,17068,398907,11109000000,72839000,1243216000000,11785735,16.18000030517578,147109,-8362535
A003490,koreanAir,KOSPI,20170123,16825,17312,16825,17312,563275,15833000000,72839000,1260988000000,11788251,16.18000030517578,208094,-8154441
A003490,koreanAir,KOSPI,20170124,17312,17507,17085,17150,432065,11498000000,72839000,1249188000000,11697273,16.059999465942383,-1,-8154442
A003490,koreanAir,KOSPI,20170125,17150,17247,16729,16794,285310,7399000000,72839000,1223258000000,11688455,16.049999237060547,-33983,-8188425
A003490,koreanAir,KOSPI,20170126,16826,17215,16437,17150,419953,10903000000,72839000,1249188000000,11685114,16.040000915527344,8189,-8180236
A003490,koreanAir,KOSPI,20170131,17118,17247,16858,17085,262626,6930000000,72839000,1244454000000,11613292,15.9399995803833,37516,-8142720
A003490,koreanAir,KOSPI,20170201,17183,17507,17085,17507,363021,9736000000,72839000,1275192000000,11665743,16.020000457763672,-17256,-8159976
A003490,koreanAir,KOSPI,20170202,17539,17799,17345,17604,299115,8141000000,72839000,1282257000000,11641259,15.979999542236328,19208,-8140768
A003490,koreanAir,KOSPI,20170203,17701,17734,17085,17410,360592,9635000000,72839000,1268126000000,11683219,16.040000915527344,-86717,-8227485
A003490,koreanAir,KOSPI,20170206,17312,17442,17118,17150,194877,5179000000,72839000,1249188000000,11628570,15.960000038146973,13117,-8214368
A003490,koreanAir,KOSPI,20170207,17150,17474,17118,17442,197581,5276000000,72839000,1270457000000,11616093,15.949999809265137,13613,-8200755
A003490,koreanAir,KOSPI,20170208,17345,17345,17150,17247,242499,6439000000,72839000,1256254000000,11563978,15.880000114440918,7411,-8193344
A003490,koreanAir,KOSPI,20170209,17183,17474,17183,17377,240182,6439000000,72839000,1265723000000,11551424,15.859999656677246,39423,-8153921
A003490,koreanAir,KOSPI,20170210,17604,17831,17410,17831,405822,11030000000,72839000,1298792000000,11604481,15.930000305175781,73502,-8080419
A003490,koreanAir,KOSPI,20170213,17831,17928,17539,17799,248072,6777000000,72839000,1296461000000,11561943,15.869999885559082,37533,-8042886
A003490,koreanAir,KOSPI,20170214,17734,18058,17701,18026,297848,8210000000,72839000,1312995000000,11545484,15.850000381469727,105706,-7937180
A003490,koreanAir,KOSPI,20170215,18090,18188,17669,17701,351461,9707000000,72839000,1289323000000,11484205,15.770000457763672,-23836,-7961016
A003490,koreanAir,KOSPI,20170216,17669,17701,17118,17215,597523,15980000000,72839000,1253923000000,11513719,15.8100004196167,-250875,-8211891
A003490,koreanAir,KOSPI,20170217,17150,17183,16826,17118,611549,16051000000,72839000,1246858000000,11468403,15.739999771118164,-131650,-8343541
A003490,koreanAir,KOSPI,20170220,17085,17377,16988,17345,615934,16369000000,72839000,1263392000000,11477787,15.760000228881836,-112328,-8455869
A003490,koreanAir,KOSPI,20170221,17345,18123,17247,18058,1443824,39841000000,72839000,1315326000000,11875804,16.299999237060547,-253824,-8709693
A003490,koreanAir,KOSPI,20170222,18058,18706,18026,18415,1556792,44284000000,72839000,1341330000000,12015827,16.5,5676,-8704017
A003490,koreanAir,KOSPI,20170223,18544,18966,18252,18868,920414,26605000000,72839000,1374326000000,12118949,16.639999389648438,159066,-8544951
A003490,koreanAir,KOSPI,20170224,18804,18933,18252,18674,616767,17698000000,72839000,1360195000000,12000076,16.469999313354492,113482,-8431469
A003490,koreanAir,KOSPI,20170227,18674,18868,18285,18447,299510,8572000000,72839000,1343661000000,11999817,16.469999313354492,3759,-8427710
A003490,koreanAir,KOSPI,20170228,18350,18804,18123,18739,571059,16379000000,72839000,1364930000000,12046787,16.540000915527344,32124,-8395586
A003490,koreanAir,KOSPI,20170302,18868,18868,18252,18350,532829,15146000000,72839000,1336595000000,12026167,16.510000228881836,-73501,-8469087
A003490,koreanAir,KOSPI,20170303,18058,18090,17247,17474,963489,26065000000,72839000,1272788000000,12001656,16.479999542236328,306,-8468781
A003490,koreanAir,KOSPI,20170306,17215,17604,16988,17442,713765,19039000000,72839000,1270457000000,11812438,16.219999313354492,100084,-8368697
A003490,koreanAir,KOSPI,20170307,17442,17669,17312,17572,376243,10161000000,72839000,1279926000000,11768182,16.15999984741211,-34617,-8403314
A003490,koreanAir,KOSPI,20170308,17474,17474,17085,17377,671408,17878000000,72839000,1265723000000,11733024,16.110000610351562,-91764,-8495078
A003490,koreanAir,KOSPI,20170309,17345,18317,17312,18252,1168555,32475000000,72839000,1329457000000,11942744,16.399999618530273,79623,-8415455
A003490,koreanAir,KOSPI,20170310,18252,18544,17896,18026,587569,16456000000,72839000,1312995000000,11832991,16.25,55856,-8359599
A003490,koreanAir,KOSPI,20170313,18058,18317,17928,18188,306265,8589000000,72839000,1324795000000,11852670,16.270000457763672,-16424,-8376023
A003490,koreanAir,KOSPI,20170314,18220,19160,18188,18901,767683,22221000000,72839000,1376729000000,11896314,16.329999923706055,106550,-8269473
A003490,koreanAir,KOSPI,20170315,18836,19031,18415,18933,512674,14896000000,72839000,1379060000000,11797626,16.200000762939453,151387,-8118086
A003490,koreanAir,KOSPI,20170316,19095,19582,19063,19095,710095,21087000000,72839000,1390860000000,11783955,16.18000030517578,-3343,-8121429
A003490,koreanAir,KOSPI,20170317,19095,19290,18706,19290,492082,14419000000,72839000,1405064000000,11804986,16.209999084472656,-15531,-8136960
A003490,koreanAir,KOSPI,20170320,19290,19420,18868,19225,320070,9479000000,72839000,1400329000000,11750625,16.1299991607666,53139,-8083821
